scenario_id,split,context,description,emotion,gesture,motion,direction,missing_cues,intent,intent_code,action,action_code,intent_idx,intent_confidence,motion_idx,direction_idx,human_speed,human_is_moving,context_idx,action_idx,target_v,target_omega,target_d,target_linear_v,target_angular_w,target_comfort_d
1,train,classroom,Student waves at robot with happy face while walking toward it,happy,wave,walking,toward_robot,,F01,F01,A01,A01,0,0.95,2,0,0.8,1.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
1,train,classroom,Student waves at robot with happy face while walking toward it,happy,wave,walking,toward_robot,,F01,F01,A01,A01,0,0.8,2,0,0.92,1.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
1,train,classroom,Student waves at robot with happy face while walking toward it,happy,wave,walking,toward_robot,,F01,F01,A01,A01,0,0.84,2,0,0.9,1.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
1,train,classroom,Student waves at robot with happy face while walking toward it,happy,wave,walking,toward_robot,,F01,F01,A01,A01,0,0.89,2,0,0.87,1.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
1,train,classroom,Student waves at robot with happy face while walking toward it,happy,wave,walking,toward_robot,,F01,F01,A01,A01,0,0.66,2,0,0.75,1.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
1,train,classroom,Student waves at robot with happy face while walking toward it,happy,wave,walking,toward_robot,,F01,F01,A01,A01,0,0.7,2,0,0.77,1.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
1,train,classroom,Student waves at robot with happy face while walking toward it,happy,wave,walking,toward_robot,,F01,F01,A01,A01,0,0.8,2,0,0.74,1.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
2,train,classroom,Student gives thumbs up with happy face while sitting,happy,thumbs_up,sitting,stationary,,F01,F01,A01,A01,0,0.95,0,5,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
2,train,classroom,Student gives thumbs up with happy face while sitting,happy,thumbs_up,sitting,stationary,,F01,F01,A01,A01,0,0.95,0,5,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
2,train,classroom,Student gives thumbs up with happy face while sitting,happy,thumbs_up,sitting,stationary,,F01,F01,A01,A01,0,0.79,0,5,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
2,train,classroom,Student gives thumbs up with happy face while sitting,happy,thumbs_up,sitting,stationary,,F01,F01,A01,A01,0,0.92,0,5,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
2,train,classroom,Student gives thumbs up with happy face while sitting,happy,thumbs_up,sitting,stationary,context,F01,F01,A01,A01,0,0.76,0,5,0.0,0.0,2,0,0.0,0.0,1.0,0.0,0.0,1.0
2,train,classroom,Student gives thumbs up with happy face while sitting,happy,thumbs_up,sitting,stationary,,F01,F01,A01,A01,0,0.91,0,5,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
2,train,classroom,Student gives thumbs up with happy face while sitting,happy,thumbs_up,sitting,stationary,context,F01,F01,A01,A01,0,0.75,0,5,0.0,0.0,2,0,0.0,0.0,1.0,0.0,0.0,1.0
3,train,classroom,Student suddenly stands up from chair startled throwing both hands up,surprise,both_hands_up,standing,stationary,,F02,F02,A14,A14,1,0.95,1,5,0.0,0.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
3,train,classroom,Student suddenly stands up from chair startled throwing both hands up,surprise,both_hands_up,standing,stationary,,F02,F02,A14,A14,1,0.86,1,5,0.0,0.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
3,train,classroom,Student suddenly stands up from chair startled throwing both hands up,surprise,both_hands_up,standing,stationary,context,F02,F02,A14,A14,1,0.67,1,5,0.0,0.0,2,13,0.0,0.1,1.8,0.0,0.1,1.8
3,train,classroom,Student suddenly stands up from chair startled throwing both hands up,surprise,both_hands_up,standing,stationary,,F02,F02,A14,A14,1,0.75,1,5,0.0,0.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
3,train,classroom,Student suddenly stands up from chair startled throwing both hands up,surprise,both_hands_up,standing,stationary,,F02,F02,A14,A14,1,0.81,1,5,0.0,0.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
3,train,classroom,Student suddenly stands up from chair startled throwing both hands up,surprise,both_hands_up,standing,stationary,,F02,F02,A14,A14,1,0.97,1,5,0.0,0.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
3,train,classroom,Student suddenly stands up from chair startled throwing both hands up,surprise,both_hands_up,standing,stationary,,F02,F02,A14,A14,1,0.73,1,5,0.0,0.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
4,train,classroom,Student jumps back from a desk frightened both hands up,fear,both_hands_up,stepping_back,away_from_robot,,F02,F02,A14,A14,1,0.95,3,1,0.5,1.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
4,train,classroom,Student jumps back from a desk frightened both hands up,fear,both_hands_up,stepping_back,away_from_robot,,F02,F02,A14,A14,1,0.73,3,1,0.51,1.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
4,train,classroom,Student jumps back from a desk frightened both hands up,fear,both_hands_up,stepping_back,away_from_robot,,F02,F02,A14,A14,1,0.98,3,1,0.57,1.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
4,train,classroom,Student jumps back from a desk frightened both hands up,fear,both_hands_up,stepping_back,away_from_robot,,F02,F02,A14,A14,1,0.9,3,1,0.62,1.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
4,train,classroom,Student jumps back from a desk frightened both hands up,fear,both_hands_up,stepping_back,away_from_robot,,F02,F02,A14,A14,1,0.83,3,1,0.45,1.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
4,train,classroom,Student jumps back from a desk frightened both hands up,fear,both_hands_up,stepping_back,away_from_robot,,F02,F02,A14,A14,1,0.97,3,1,0.63,1.0,0,13,0.0,0.1,1.8,0.0,0.1,1.8
4,train,classroom,Student jumps back from a desk frightened both hands up,fear,both_hands_up,stepping_back,away_from_robot,context,F02,F02,A14,A14,1,0.81,3,1,0.44,1.0,2,13,0.0,0.1,1.8,0.0,0.1,1.8
5,train,classroom,Student beckons robot over with neutral face while sitting,neutral,beckoning,sitting,stationary,,F03,F03,A04,A04,2,0.95,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
5,train,classroom,Student beckons robot over with neutral face while sitting,neutral,beckoning,sitting,stationary,,F03,F03,A04,A04,2,0.91,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
5,train,classroom,Student beckons robot over with neutral face while sitting,neutral,beckoning,sitting,stationary,,F03,F03,A04,A04,2,0.68,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
5,train,classroom,Student beckons robot over with neutral face while sitting,neutral,beckoning,sitting,stationary,,F03,F03,A04,A04,2,0.94,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
5,train,classroom,Student beckons robot over with neutral face while sitting,neutral,beckoning,sitting,stationary,,F03,F03,A04,A04,2,0.82,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
5,train,classroom,Student beckons robot over with neutral face while sitting,neutral,beckoning,sitting,stationary,,F03,F03,A04,A04,2,0.88,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
5,train,classroom,Student beckons robot over with neutral face while sitting,neutral,beckoning,sitting,stationary,context,F03,F03,A04,A04,2,0.85,0,5,0.0,0.0,2,3,0.3,0.2,0.8,0.3,0.2,0.8
6,train,classroom,Student beckons the robot to their desk with neutral face seated context sensor offline,neutral,beckoning,sitting,stationary,context,F03,F03,A04,A04,2,0.95,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
6,train,classroom,Student beckons the robot to their desk with neutral face seated context sensor offline,neutral,beckoning,sitting,stationary,context,F03,F03,A04,A04,2,0.79,0,5,0.0,0.0,2,3,0.3,0.2,0.8,0.3,0.2,0.8
6,train,classroom,Student beckons the robot to their desk with neutral face seated context sensor offline,neutral,beckoning,sitting,stationary,context,F03,F03,A04,A04,2,0.93,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
6,train,classroom,Student beckons the robot to their desk with neutral face seated context sensor offline,neutral,beckoning,sitting,stationary,context,F03,F03,A04,A04,2,0.96,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
6,train,classroom,Student beckons the robot to their desk with neutral face seated context sensor offline,neutral,beckoning,sitting,stationary,context,F03,F03,A04,A04,2,0.67,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
6,train,classroom,Student beckons the robot to their desk with neutral face seated context sensor offline,neutral,beckoning,sitting,stationary,context,F03,F03,A04,A04,2,0.97,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
6,train,classroom,Student beckons the robot to their desk with neutral face seated context sensor offline,neutral,beckoning,sitting,stationary,context,F03,F03,A04,A04,2,0.78,0,5,0.0,0.0,0,3,0.3,0.2,0.8,0.3,0.2,0.8
7,train,classroom,Student raises hand with neutral face while sitting at desk,neutral,raise_hand,sitting,stationary,,F04,F04,A05,A05,3,0.95,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
7,train,classroom,Student raises hand with neutral face while sitting at desk,neutral,raise_hand,sitting,stationary,,F04,F04,A05,A05,3,0.69,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
7,train,classroom,Student raises hand with neutral face while sitting at desk,neutral,raise_hand,sitting,stationary,,F04,F04,A05,A05,3,0.92,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
7,train,classroom,Student raises hand with neutral face while sitting at desk,neutral,raise_hand,sitting,stationary,context,F04,F04,A05,A05,3,0.72,0,5,0.0,0.0,2,4,0.0,0.1,1.0,0.0,0.1,1.0
7,train,classroom,Student raises hand with neutral face while sitting at desk,neutral,raise_hand,sitting,stationary,context,F04,F04,A05,A05,3,0.95,0,5,0.0,0.0,2,4,0.0,0.1,1.0,0.0,0.1,1.0
7,train,classroom,Student raises hand with neutral face while sitting at desk,neutral,raise_hand,sitting,stationary,context,F04,F04,A05,A05,3,0.89,0,5,0.0,0.0,2,4,0.0,0.1,1.0,0.0,0.1,1.0
7,train,classroom,Student raises hand with neutral face while sitting at desk,neutral,raise_hand,sitting,stationary,,F04,F04,A05,A05,3,0.88,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
8,train,classroom,Student with sad face gives thumbs down toward own worksheet barely moving seated,sad,thumbs_down,sitting,stationary,,F04,F04,A05,A05,3,0.95,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
8,train,classroom,Student with sad face gives thumbs down toward own worksheet barely moving seated,sad,thumbs_down,sitting,stationary,,F04,F04,A05,A05,3,0.85,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
8,train,classroom,Student with sad face gives thumbs down toward own worksheet barely moving seated,sad,thumbs_down,sitting,stationary,,F04,F04,A05,A05,3,0.95,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
8,train,classroom,Student with sad face gives thumbs down toward own worksheet barely moving seated,sad,thumbs_down,sitting,stationary,,F04,F04,A05,A05,3,0.97,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
8,train,classroom,Student with sad face gives thumbs down toward own worksheet barely moving seated,sad,thumbs_down,sitting,stationary,,F04,F04,A05,A05,3,0.73,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
8,train,classroom,Student with sad face gives thumbs down toward own worksheet barely moving seated,sad,thumbs_down,sitting,stationary,,F04,F04,A05,A05,3,0.85,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
8,train,classroom,Student with sad face gives thumbs down toward own worksheet barely moving seated,sad,thumbs_down,sitting,stationary,context,F04,F04,A05,A05,3,0.89,0,5,0.0,0.0,2,4,0.0,0.1,1.0,0.0,0.1,1.0
9,train,classroom,Student slumped and sad staring down hands below desk no gesture captured,sad,none,sitting,stationary,gesture,F04,F04,A05,A05,3,0.95,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
9,train,classroom,Student slumped and sad staring down hands below desk no gesture captured,sad,none,sitting,stationary,context,F04,F04,A05,A05,3,0.88,0,5,0.0,0.0,2,4,0.0,0.1,1.0,0.0,0.1,1.0
9,train,classroom,Student slumped and sad staring down hands below desk no gesture captured,sad,none,sitting,stationary,gesture,F04,F04,A05,A05,3,0.84,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
9,train,classroom,Student slumped and sad staring down hands below desk no gesture captured,sad,none,sitting,stationary,gesture,F04,F04,A05,A05,3,0.66,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
9,train,classroom,Student slumped and sad staring down hands below desk no gesture captured,sad,none,sitting,stationary,gesture,F04,F04,A05,A05,3,0.69,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
9,train,classroom,Student slumped and sad staring down hands below desk no gesture captured,sad,none,sitting,stationary,gesture,F04,F04,A05,A05,3,0.68,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
9,train,classroom,Student slumped and sad staring down hands below desk no gesture captured,sad,none,sitting,stationary,gesture,F04,F04,A05,A05,3,0.71,0,5,0.0,0.0,0,4,0.0,0.1,1.0,0.0,0.1,1.0
10,train,classroom,Student writes notes during lecture occasionally pointing at the notebook neutral face,neutral,none,sitting,stationary,,F05,F05,A06,A06,4,0.95,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
10,train,classroom,Student writes notes during lecture occasionally pointing at the notebook neutral face,neutral,none,sitting,stationary,context,F05,F05,A06,A06,4,0.71,0,5,0.0,0.0,2,5,0.0,0.0,1.5,0.0,0.0,1.5
10,train,classroom,Student writes notes during lecture occasionally pointing at the notebook neutral face,neutral,none,sitting,stationary,,F05,F05,A06,A06,4,0.87,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
10,train,classroom,Student writes notes during lecture occasionally pointing at the notebook neutral face,neutral,none,sitting,stationary,,F05,F05,A06,A06,4,0.69,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
10,train,classroom,Student writes notes during lecture occasionally pointing at the notebook neutral face,neutral,none,sitting,stationary,,F05,F05,A06,A06,4,0.7,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
10,train,classroom,Student writes notes during lecture occasionally pointing at the notebook neutral face,neutral,none,sitting,stationary,,F05,F05,A06,A06,4,0.8,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
10,train,classroom,Student writes notes during lecture occasionally pointing at the notebook neutral face,neutral,none,sitting,stationary,,F05,F05,A06,A06,4,0.89,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
11,train,classroom,Student smiles and raises hand while sitting volunteering to answer the teacher,happy,raise_hand,sitting,stationary,,F05,F05,A06,A06,4,0.95,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
11,train,classroom,Student smiles and raises hand while sitting volunteering to answer the teacher,happy,raise_hand,sitting,stationary,,F05,F05,A06,A06,4,0.89,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
11,train,classroom,Student smiles and raises hand while sitting volunteering to answer the teacher,happy,raise_hand,sitting,stationary,context,F05,F05,A06,A06,4,0.92,0,5,0.0,0.0,2,5,0.0,0.0,1.5,0.0,0.0,1.5
11,train,classroom,Student smiles and raises hand while sitting volunteering to answer the teacher,happy,raise_hand,sitting,stationary,,F05,F05,A06,A06,4,0.72,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
11,train,classroom,Student smiles and raises hand while sitting volunteering to answer the teacher,happy,raise_hand,sitting,stationary,,F05,F05,A06,A06,4,0.83,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
11,train,classroom,Student smiles and raises hand while sitting volunteering to answer the teacher,happy,raise_hand,sitting,stationary,context,F05,F05,A06,A06,4,0.68,0,5,0.0,0.0,2,5,0.0,0.0,1.5,0.0,0.0,1.5
11,train,classroom,Student smiles and raises hand while sitting volunteering to answer the teacher,happy,raise_hand,sitting,stationary,,F05,F05,A06,A06,4,0.98,0,5,0.0,0.0,0,5,0.0,0.0,1.5,0.0,0.0,1.5
12,train,classroom,Student walks toward robot in a narrow aisle carrying books hands occupied gesture not captured,neutral,MISSING,walking,toward_robot,gesture,F06,F06,A11,A11,5,0.95,2,0,0.8,1.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
12,train,classroom,Student walks toward robot in a narrow aisle carrying books hands occupied gesture not captured,neutral,MISSING,walking,toward_robot,gesture,F06,F06,A11,A11,5,0.77,2,0,0.65,1.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
12,train,classroom,Student walks toward robot in a narrow aisle carrying books hands occupied gesture not captured,neutral,MISSING,walking,toward_robot,gesture,F06,F06,A11,A11,5,0.85,2,0,0.8,1.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
12,train,classroom,Student walks toward robot in a narrow aisle carrying books hands occupied gesture not captured,neutral,MISSING,walking,toward_robot,gesture,F06,F06,A11,A11,5,0.93,2,0,0.72,1.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
12,train,classroom,Student walks toward robot in a narrow aisle carrying books hands occupied gesture not captured,neutral,MISSING,walking,toward_robot,gesture,F06,F06,A11,A11,5,0.68,2,0,0.78,1.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
12,train,classroom,Student walks toward robot in a narrow aisle carrying books hands occupied gesture not captured,neutral,MISSING,walking,toward_robot,gesture,F06,F06,A11,A11,5,0.85,2,0,0.88,1.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
12,train,classroom,Student walks toward robot in a narrow aisle carrying books hands occupied gesture not captured,neutral,MISSING,walking,toward_robot,gesture,F06,F06,A11,A11,5,0.95,2,0,0.7,1.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
13,train,classroom,Student annoyed by the robot hovering waves it away with angry face standing,angry,wave,standing,stationary,,F06,F06,A11,A11,5,0.95,1,5,0.0,0.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
13,train,classroom,Student annoyed by the robot hovering waves it away with angry face standing,angry,wave,standing,stationary,,F06,F06,A11,A11,5,0.98,1,5,0.0,0.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
13,train,classroom,Student annoyed by the robot hovering waves it away with angry face standing,angry,wave,standing,stationary,,F06,F06,A11,A11,5,0.98,1,5,0.0,0.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
13,train,classroom,Student annoyed by the robot hovering waves it away with angry face standing,angry,wave,standing,stationary,context,F06,F06,A11,A11,5,0.91,1,5,0.0,0.0,2,10,0.3,0.5,0.5,0.3,0.5,0.5
13,train,classroom,Student annoyed by the robot hovering waves it away with angry face standing,angry,wave,standing,stationary,,F06,F06,A11,A11,5,0.94,1,5,0.0,0.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
13,train,classroom,Student annoyed by the robot hovering waves it away with angry face standing,angry,wave,standing,stationary,,F06,F06,A11,A11,5,0.68,1,5,0.0,0.0,0,10,0.3,0.5,0.5,0.3,0.5,0.5
13,train,classroom,Student annoyed by the robot hovering waves it away with angry face standing,angry,wave,standing,stationary,context,F06,F06,A11,A11,5,0.79,1,5,0.0,0.0,2,10,0.3,0.5,0.5,0.3,0.5,0.5
14,train,classroom,Student raises both hands in frustration rigid posture standing,angry,both_hands_up,standing,stationary,,F07,F07,A08,A08,6,0.95,1,5,0.0,0.0,0,7,0.0,0.05,1.5,0.0,0.05,1.5
14,train,classroom,Student raises both hands in frustration rigid posture standing,angry,both_hands_up,standing,stationary,,F07,F07,A08,A08,6,0.7,1,5,0.0,0.0,0,7,0.0,0.05,1.5,0.0,0.05,1.5
14,train,classroom,Student raises both hands in frustration rigid posture standing,angry,both_hands_up,standing,stationary,,F07,F07,A08,A08,6,0.95,1,5,0.0,0.0,0,7,0.0,0.05,1.5,0.0,0.05,1.5
14,train,classroom,Student raises both hands in frustration rigid posture standing,angry,both_hands_up,standing,stationary,,F07,F07,A08,A08,6,0.78,1,5,0.0,0.0,0,7,0.0,0.05,1.5,0.0,0.05,1.5
