clip_id,context,scenario_dir,v3_row,intent,action,split_design,filepath,view,width,height,fps,n_frames,duration_s,bytes,sha256,source,old_clip_id,old_filepath,old_scenario_id,recorded_at,person_id,take_index,emotion_v3,gesture_v3,motion_v3,missing_v3,gt_emotion,context_masked,emotion_masked,gesture_masked,motion_masked,derived_from_row,derived_from_clip_id,dup_of,usable,exclude_kind,exclude_reason,scoreable,caveat,scenario_desc
S01_F01_c011,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c011.mp4,realsense_480p,640,480,15,62,4.133,634936,aaceb440fdd0f5126e83e0f2dbaa5a3baf1ed1595786133f0ccff9bb8623ca02,curated_clip,S02_F01_c026,classroom/S01_F01/S02_F01_c026.mp4,S02_F01,,P02,10,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c012,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c012.mp4,realsense_480p,640,480,15,99,6.6,955775,01b97fc82bb111990fce443f877c555ffc092468ca8544b7001597a3ff19c5eb,curated_clip,S02_F01_c003,classroom/S01_F01/S02_F01_c003.mp4,S02_F01,,P02,11,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,S01_F01_c001,FALSE,duplicate within the same folder,exact duplicate of classroom/S01_F01/S01_F01_c001.mp4,FALSE,exact duplicate of classroom/S01_F01/S01_F01_c001.mp4,Student waves at robot with happy face while walking toward it.
S01_F01_c013,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c013.mp4,realsense_480p,640,480,15,76,5.067,774931,f0d04799807cacccf782e6dd0b576e046373817626d15d3fa402b3a80a476c05,curated_clip,S02_F01_c029,classroom/S01_F01/S02_F01_c029.mp4,S02_F01,,P01,12,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c014,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c014.mp4,realsense_480p,640,480,15,89,5.933,870806,9de9bde1f0afa9919f60fd45d3ed81d2fdc603c759c137395d1e91d6f51bcb36,curated_clip,S02_F01_c030,classroom/S01_F01/S02_F01_c030.mp4,S02_F01,,P01,13,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c015,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c015.mp4,realsense_480p,640,480,15,85,5.667,868138,accc1af60e49379062afaa6f7bfe9b12ad437ddc28c9a1c54aaaf156dc9daf02,curated_clip,S02_F01_c033,classroom/S01_F01/S02_F01_c033.mp4,S02_F01,,P01,14,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c016,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c016.mp4,realsense_480p,640,480,15,84,5.6,775179,978a6f9816883252849d6f8cf18cbc00e110269143d391be7c0cda044373e0e9,curated_clip,S02_F01_c034,classroom/S01_F01/S02_F01_c034.mp4,S02_F01,,P01,15,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c017,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c017.mp4,realsense_480p,640,480,15,91,6.067,981145,a76f328ba02dd86d1add01f251bbb7def26f3c58be20bee3629196167994ee31,curated_clip,S02_F01_c035,classroom/S01_F01/S02_F01_c035.mp4,S02_F01,,P02,16,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c018,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c018.mp4,realsense_480p,640,480,15,89,5.933,981536,1fe35ed633bbe2678b6f58299e9b54b3a4756ebb9b57f20b9a42af4040a2f3ff,curated_clip,S02_F01_c036,classroom/S01_F01/S02_F01_c036.mp4,S02_F01,,P02,17,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c019,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c019.mp4,realsense_480p,640,480,15,83,5.533,866918,35fcf5adeb5fad774d6ae21d8b957e4bf5ded77dd286dbad1bc78d21561079db,curated_clip,S02_F01_c037,classroom/S01_F01/S02_F01_c037.mp4,S02_F01,,P02,18,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c020,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c020.mp4,realsense_480p,640,480,15,84,5.6,959055,0104a1145b68c01de64fc90731b5d15e9a0e773f84e47b6831a30277db224314,curated_clip,S02_F01_c038,classroom/S01_F01/S02_F01_c038.mp4,S02_F01,,P02,19,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c021,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c021.mp4,realsense_480p,640,480,15,84,5.6,1124983,1e2e41baf0b2e965efda710147e08a2e67dd4459a6538805a4012700f088aeab,curated_clip,S02_F01_c040,classroom/S01_F01/S02_F01_c040.mp4,S02_F01,,P04,20,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c022,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c022.mp4,realsense_480p,640,480,15,71,4.733,704213,40764c2d72affb6db7b4c6481e5371821f0a666ee1eef0227769cc04041f1280,curated_clip,S02_F01_c041,classroom/S01_F01/S02_F01_c041.mp4,S02_F01,,P01,21,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c023,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c023.mp4,realsense_480p,640,480,15,97,6.467,986234,68a93ae8762a2c8af562e1d82a494b7c51339f8c1e6281568bc2e765410705a4,curated_clip,S02_F01_c005,classroom/S01_F01/S02_F01_c005.mp4,S02_F01,,P01,22,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c024,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c024.mp4,realsense_480p,640,480,15,76,5.067,791723,f57ea6bf42e37a99bbee1cc5c2be692050afeee2f1afd48652fb47d8724c6b4d,curated_clip,S02_F01_c042,classroom/S01_F01/S02_F01_c042.mp4,S02_F01,,P01,23,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c025,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c025.mp4,realsense_480p,640,480,15,70,4.667,684652,13ad09023989b54a70f77b95f72b03747a9a7a78faf21ecf6caf8bf6ca20bc27,curated_clip,S02_F01_c043,classroom/S01_F01/S02_F01_c043.mp4,S02_F01,,P01,24,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c026,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c026.mp4,realsense_480p,640,480,15,69,4.6,699265,a6a87e7e310c2e4645eb16d36366459af595e9ecabab2289697e613c591aa36f,curated_clip,S02_F01_c044,classroom/S01_F01/S02_F01_c044.mp4,S02_F01,,P01,25,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c027,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c027.mp4,realsense_480p,640,480,15,80,5.333,808348,9a0e4742368df6cf4762e8026ca52b5754afed7f43f7a71341a0f02caf9e8c5f,curated_clip,S02_F01_c045,classroom/S01_F01/S02_F01_c045.mp4,S02_F01,,P02,26,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c028,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c028.mp4,realsense_480p,640,480,15,78,5.2,771855,ca69edc1900f42e37003fdae322b81247672569d0759b2f0e2540aa4f57cf02a,curated_clip,S02_F01_c046,classroom/S01_F01/S02_F01_c046.mp4,S02_F01,,P02,27,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c029,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c029.mp4,realsense_480p,640,480,15,82,5.467,909348,0520c3684e5eedcd105da9f62b04e5e39782116811418711fbbcf346563f9dd2,curated_clip,S02_F01_c051,classroom/S01_F01/S02_F01_c051.mp4,S02_F01,,P01,28,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c030,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c030.mp4,realsense_480p,640,480,15,101,6.733,1151531,0a9206044dfb0609fad2a8cd1e5e0d55954a73a38ea2c2ada6476c3497d6603d,curated_clip,S02_F01_c052,classroom/S01_F01/S02_F01_c052.mp4,S02_F01,,P01,29,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c031,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c031.mp4,realsense_480p,640,480,15,69,4.6,759486,315104fec40b27303b3d765edea826ffecde03c20155d89b59f0f5ecb3ef3d7f,curated_clip,S02_F01_c053,classroom/S01_F01/S02_F01_c053.mp4,S02_F01,,P02,30,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c032,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c032.mp4,realsense_480p,640,480,15,82,5.467,854407,5ddef04165c840e1dd5dd06580548b2e2fdeb8425cdc02e61b578136ec589cc6,curated_clip,S02_F01_c054,classroom/S01_F01/S02_F01_c054.mp4,S02_F01,,P02,31,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c033,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c033.mp4,realsense_480p,640,480,15,72,4.8,746910,32d9baa2829c3cd28ec25879e984bd528da857ece316add69ced15d77d9255b0,curated_clip,S02_F01_c055,classroom/S01_F01/S02_F01_c055.mp4,S02_F01,,P02,32,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c034,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c034.mp4,realsense_480p,640,480,15,97,6.467,986234,68a93ae8762a2c8af562e1d82a494b7c51339f8c1e6281568bc2e765410705a4,curated_clip,S02_F01_c005,classroom/S01_F01/S02_F01_c005.mp4,S02_F01,,P01,33,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,S01_F01_c023,FALSE,duplicate within the same folder,exact duplicate of classroom/S01_F01/S01_F01_c023.mp4,FALSE,exact duplicate of classroom/S01_F01/S01_F01_c023.mp4,Student waves at robot with happy face while walking toward it.
S01_F01_c035,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c035.mp4,realsense_480p,640,480,15,76,5.067,630643,e19aa6550eb6222f27e90972b3498b8335e9e94831bc70b4d7277c23baaf3aa8,curated_clip,S02_F01_c056,classroom/S01_F01/S02_F01_c056.mp4,S02_F01,,P02,34,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c036,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c036.mp4,realsense_480p,640,480,15,79,5.267,622910,7afb8aa4c96364a587abca142dcf0fab0941887dd0bb7a85f2506849738cbe2d,curated_clip,S02_F01_c057,classroom/S01_F01/S02_F01_c057.mp4,S02_F01,,P01,35,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c037,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c037.mp4,realsense_480p,640,480,15,77,5.133,629117,4506abae2ffdc50ce774907aaf2886c071b730ae9e4b6255dc5e106f00cf383f,curated_clip,S02_F01_c058,classroom/S01_F01/S02_F01_c058.mp4,S02_F01,,P01,36,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c038,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c038.mp4,realsense_480p,640,480,15,85,5.667,907171,ad0856f4ec44ff592391b18d06e90401ea27e9e82999b98cc3c6e817d98484ad,curated_clip,S02_F01_c007,classroom/S01_F01/S02_F01_c007.mp4,S02_F01,,P01,37,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c039,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c039.mp4,realsense_480p,640,480,15,92,6.133,839744,e5c58b9d7324e70cb4e2e33e2d3e2a42be435ac15f17f35021bf13afed23949e,curated_clip,S02_F01_c008,classroom/S01_F01/S02_F01_c008.mp4,S02_F01,,P02,38,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c040,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c040.mp4,realsense_480p,640,480,15,85,5.667,877168,28703035fc230dd8cb40d0148f51569bc5e92225a67e884c53f35463b3cf48cc,curated_clip,S02_F01_c013,classroom/S01_F01/S02_F01_c013.mp4,S02_F01,,P02,39,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student waves at robot with happy face while walking toward it.
S01_F01_c041,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c041.mp4,realsense_480p,640,480,15,85,5.667,877168,28703035fc230dd8cb40d0148f51569bc5e92225a67e884c53f35463b3cf48cc,curated_clip,S02_F01_c013,classroom/S01_F01/S02_F01_c013.mp4,S02_F01,,P02,40,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,S01_F01_c040,FALSE,duplicate within the same folder,exact duplicate of classroom/S01_F01/S01_F01_c040.mp4,FALSE,exact duplicate of classroom/S01_F01/S01_F01_c040.mp4,Student waves at robot with happy face while walking toward it.
S01_F01_c042,classroom,S01_F01,1,F01,A01,train,classroom/S01_F01/S01_F01_c042.mp4,realsense_480p,640,480,15,85,5.667,900873,cd487efd8aa9148973b0535b001f592fb875775be8fd217d6cf88abedca9aa8c,curated_clip,S02_F01_c015,classroom/S01_F01/S02_F01_c015.mp4,S02_F01,,P02,41,happy,wave,walk,,Happy,FALSE,FALSE,FALSE,FALSE,,,S01_F01_c002,FALSE,duplicate within the same folder,exact duplicate of classroom/S01_F01/S01_F01_c002.mp4,FALSE,exact duplicate of classroom/S01_F01/S01_F01_c002.mp4,Student waves at robot with happy face while walking toward it.
S02_F01_c001,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c001.mp4,realsense_480p,640,480,15,82,5.467,658186,8e9c0c200275caaa4b06bb5e5559a3122a5380f65212f384068ef1d4cfe1a009,curated_clip,S12_F01_c001,classroom/S02_F01/S12_F01_c001.mp4,S12_F01,,P06,0,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c002,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c002.mp4,realsense_480p,640,480,15,82,5.467,579115,5a4ba3300b4b4c3f31286c381bd9a71dba170df85444c1f6db101a7ef3e95d6b,curated_clip,S12_F01_c010,classroom/S02_F01/S12_F01_c010.mp4,S12_F01,,P06,1,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c003,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c003.mp4,realsense_480p,640,480,15,80,5.333,530797,449b3e42e242fbe74f1e008398bace32b7d38c8ef0ba563e3d06d25fe6798498,curated_clip,S12_F01_c011,classroom/S02_F01/S12_F01_c011.mp4,S12_F01,,P01,2,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c004,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c004.mp4,realsense_480p,640,480,15,85,5.667,580762,7d3b190ea7bbca7df244757383a5c7631db8f72f6d930179efa55a519f3c1c9b,curated_clip,S12_F01_c012,classroom/S02_F01/S12_F01_c012.mp4,S12_F01,,P01,3,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c005,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c005.mp4,realsense_480p,640,480,15,76,5.067,504481,a72b80faa172784ab73eb723c3032f0c605bb0e71a1f2d6734baa60880b620a4,curated_clip,S12_F01_c013,classroom/S02_F01/S12_F01_c013.mp4,S12_F01,,P06,4,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c006,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c006.mp4,realsense_480p,640,480,15,86,5.733,559863,71a45cebfe0a1727e5bf20ade740172b2590043ba5291b590dda4e8f9ca7cd25,curated_clip,S12_F01_c014,classroom/S02_F01/S12_F01_c014.mp4,S12_F01,,P06,5,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c007,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c007.mp4,realsense_480p,640,480,15,82,5.467,521076,66eb0b94edf0a4b6b6863583e76299eb5adc0981f008c72f05d3fbded5896e1b,curated_clip,S12_F01_c015,classroom/S02_F01/S12_F01_c015.mp4,S12_F01,,P01,6,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c008,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c008.mp4,realsense_480p,640,480,15,84,5.6,531402,990b55a007ab346515a47266f29647e31c80ed61512d8872797065082f06491b,curated_clip,S12_F01_c016,classroom/S02_F01/S12_F01_c016.mp4,S12_F01,,P01,7,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c009,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c009.mp4,realsense_480p,640,480,15,86,5.733,581347,44a24933cb7b7de4caef4de218a2d123b8530944ffeee539a3ce13e19027f350,curated_clip,S12_F01_c017,classroom/S02_F01/S12_F01_c017.mp4,S12_F01,,P02,8,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c010,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c010.mp4,realsense_480p,640,480,15,85,5.667,580414,2ab86ea07931de636454a66ae920df489f34ced3d0d26b9f5b56331ba8f8e847,curated_clip,S12_F01_c018,classroom/S02_F01/S12_F01_c018.mp4,S12_F01,,P02,9,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c011,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c011.mp4,realsense_480p,640,480,15,91,6.067,643048,854dad797992b4f33acf1f3e4dbead33c102b4f9d41c67dbe1b5d658d287933a,curated_clip,S12_F01_c019,classroom/S02_F01/S12_F01_c019.mp4,S12_F01,,P02,10,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c012,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c012.mp4,realsense_480p,640,480,15,81,5.4,636841,c6e7ca03576e53295d79fe434a745a9d64507ce828efee4e634ecea8725326a8,curated_clip,S12_F01_c002,classroom/S02_F01/S12_F01_c002.mp4,S12_F01,,P06,11,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c013,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c013.mp4,realsense_480p,640,480,15,86,5.733,638669,e593274d82edae848b57a19aada24070cc37e3a9db83b23fa1e4b943f1d4943b,curated_clip,S12_F01_c020,classroom/S02_F01/S12_F01_c020.mp4,S12_F01,,P02,12,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
S02_F01_c014,classroom,S02_F01,2,F01,A01,train,classroom/S02_F01/S02_F01_c014.mp4,realsense_480p,640,480,15,107,7.133,734909,4ac0d478c1a75a0ff54cc5688942387d4b16a4f108b5e6c9b9d9daaab10a8611,curated_clip,S12_F01_c021,classroom/S02_F01/S12_F01_c021.mp4,S12_F01,,P06,13,happy,thumbs up,sit,,Happy,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,,TRUE,,Student gives thumbs up with happy face while sitting.
