v3_row,split_design,context,scenario_desc,emotion_v3,gesture_v3,motion_v3,missing_v3,intent,goal,why,action,test_tags,override_note,gt_emotion,emotion_masked,context_masked,gesture_masked,motion_masked,observed_tuple,derived_from_row,n_clips
11,train,classroom,Student smiles and raises hand while sitting — volunteering to answer the teacher.,happy,raise hand,sit,,F05,G3,"Interaction is teacher-directed, not robot-directed. Rule raise-hand→F04 misfires; happy + raise hand + classroom = participation. (Justification added in V3; was empty in V2.)",A06,,,Happy,False,False,False,False,classroom|happy|raise hand|sit,,54
12,train,classroom,"Student walks toward robot in a narrow aisle carrying books — hands occupied, gesture not captured.",neutral,[missing],walk,gesture,F06,G2,Hands occupied → gesture channel lost. Walk toward robot in a narrow aisle + neutral = passage request; trains attention shift to motion + direction. (Justification added in V3.),A11,,,Neutral,False,False,True,False,classroom|neutral|?|walk,,54
13,train,classroom,"Student, annoyed by the robot hovering, waves it away with angry face, standing.",angry,wave,stand,,F06,"G1, G3",Training conflict combo: rule wave→greet fires the opposite response. Angry + wave = dismissal → clear space. Test conflicts use different combos (#28/#29/#59).,A11,,,Anger,False,False,False,False,classroom|angry|wave|stand,,48
14,train,classroom,"Student raises both hands in frustration, rigid posture, standing.",angry,both hands up,stand,,F07,"G1, G3","Standing (not fleeing) + classroom = controlled frustration, not danger; de-escalate, don't alarm. RELABELED from F02 in V2 — the V2 justification already described de-escalation and the cues match kitchen twin #45.",A08,,,Anger,False,False,False,False,classroom|angry|both hands up|stand,,48
15,train,classroom,"Student crumples a worksheet and gives thumbs down with angry face, seated.",angry,thumbs down,sit,,F07,G1,"Minimal pair with #8: identical gesture+motion , emotion flips intent ( sad→help F04, angry→frustration F07). Gesture-only rules cannot separate them.",A08,,,Anger,False,False,False,False,classroom|angry|thumbs down|sit,,48
16,train,classroom,"Student pushes worksheet away, gives thumbs down with disgusted face, stepping back from desk.",disgust,thumbs down,step back,,F08,"G1, G3",Rule disgust→check smell/food is context-blind. Disgust + push-away + step back in a classroom = task aversion → break request.,A07,,,Disgust,False,False,False,False,classroom|disgust|thumbs down|step back,,49
17,train,classroom,"Student grimaces at a long assignment, gives thumbs down, slumping back in chair.",disgust,thumbs down,sit,,F08,G1,"Disgust (aversion) vs sad (distress, #8) under the same gesture+motion carries the F08/F04 boundary. Emotion granularity, not gesture, decides.",A07,,,Disgust,False,False,False,False,classroom|disgust|thumbs down|sit,,49
18,test,classroom,Student waves goodbye with happy face while walking to the door at dismissal.,happy,wave,walk,,F01,"G1, G3","Minimal pair with #1: identical cues, opposite walking direction. Since V4 folded farewell into F01 both rows carry the same intent, so this row checks that a departing wave is not mis-read as dismissal (F06) or help-seeking (F04). The only remaining difference is the action (A09 vs #1's A01), which direction alone decides and no modality reports — see #1.",A09,T01,,Happy,False,False,False,False,classroom|happy|wave|walk,,48
19,train,classroom,"Student packs bag and waves briefly with neutral face, heading toward the door.",neutral,wave,walk,,F01,G1,Neutral farewell variant: leave-taking must not require positive affect.,A10,,,Neutral,False,False,False,False,classroom|neutral|wave|walk,,49
20,train,classroom,"Student pushes assignment aside and rests head on desk, sad, no gesture, motionless.",sad,idle,sit,,F10,G1,"'none' is a captured value, not a missing one: confirmed no gesture + sad + head-down = disengagement. vs #8 (thumbs down = active signal → F04). Gesture absence separates giving-up from help-seeking.",A12,,,Sad,False,False,False,False,classroom|sad|idle|sit,,48
21,train,classroom,"Student stands by desk staring at a failed test, sad, arms hanging, no gesture.",sad,idle,stand,,F10,G1,Standing variant of #20; with #50/#51 this gives gesture-none coverage across contexts and postures.,A12,,,Sad,False,False,False,False,classroom|sad|idle|stand,,48
22,test,classroom,"Student waves while walking toward robot — face occluded by a held book, emotion not captured.",[missing],wave,walk,emotion,F01,G2,"Emotion masked: wave + walk must still yield F01 with no affect cue available, so gesture and motion carry the row alone. Train counterpart #49 (kitchen) supplies the same masked pattern, making the inference learnable rather than zero-shot. Naive rules tie-break on emotion and have nothing to tie-break on here.",A01,"T03, T05",,,True,False,False,False,classroom|?|wave|walk,,52
23,test,classroom,Student runs toward the exit in panic — gesture lost to motion blur.,fear,[missing],walk,gesture,F02,G2,Safety-critical degradation: fear + run + classroom must escalate without gesture. Mirrors kitchen #54 in the other environment.,A14,"T03, T05",,Fear,False,False,True,False,classroom|fear|?|walk,,44
24,test,classroom,Student beckons robot while walking toward the supply shelf — room-identity sensor offline.,neutral,beckoning,walk,context,F03,G2,"Context masked at test: beckon + walk toward object is still a task summons. Train counterpart #6 uses a different motion — the pattern, not the tuple, must transfer.",A13,"T03, T05",,Neutral,False,True,False,False,?|neutral|beckoning|walk,,53
25,test,classroom,Student raises hand leaning forward — emotion sensor occluded.,[missing],raise hand,step back,emotion,F04,G2,Emotion masked; gesture + posture + context suffice. Tests attention redistribution to the remaining cues; robot clarifies rather than assumes (A15).,A15,"T03, T05",,,True,False,False,False,classroom|?|raise hand|step back,,52
26,test,classroom,"Student stretches both arms overhead mid-study with neutral face, then returns to writing, seated.",neutral,both hands up,sit,,F05,G3,"Hard negative for F02: every training both-hands-up row is alarmed or standing (#3, #4, #14, #34, #35, #44). Neutral + seated + classroom = a stretch. Rule both-hands-up→emergency misfires.",A06,"T01, T05",,Neutral,False,False,False,False,classroom|neutral|both hands up|sit,,52
27,test,classroom,"Student stands up angrily, points at robot, stepping toward it.",angry,point,walk,,F06,"G1, G3",Rule angry+point→threat alert. Approach + point at robot = space/passage demand; direction + gesture target resolve it. De-escalating tone retained in the action.,A11,"T01, T04, T05",,Anger,False,False,False,False,classroom|angry|point|walk,,53
28,test,classroom,"Student scowls angrily while giving an exaggerated thumbs up after being corrected, seated.",angry,thumbs up,sit,,F07,G3,Conflict-transfer test: angry overrides thumbs up (sarcastic compliance). Training conflicts are different combos (#13/#33); classroom seated variant of #59 checks context invariance.,A08,"T02, T04, T05",,Anger,False,False,False,False,classroom|angry|thumbs up|sit,,55
29,test,classroom,"Student gives thumbs up with disgusted face after finishing a disliked task, seated.",disgust,thumbs up,sit,,F08,G3,"Sarcastic completion: disgust overrides thumbs up → relief, not praise. Strongest naive-rule failure (thumbs up→success ). Action filled in V3 (was empty).",A07,"T02, T05",,Disgust,False,False,False,False,classroom|disgust|thumbs up|sit,,49
31,test,classroom,"Student drops the crumpled quiz on the desk and stands turned away, sad, arms slack, no gesture.",sad,idle,step back,,F10,G1,"Discouragement with mild variation (turned away, standing): no directed gesture, sad, low energy. Must not divert to F04 (no signal present) or F01 (no wave).",A12,"T01, T05",,Sad,False,False,False,False,classroom|sad|idle|step back,,52
32,test,kitchen,"Cook tastes finished dish, smiles, gives thumbs up, standing still.",happy,thumbs up,stand,,F01,G1,"All cues align: genuine completion → positive acknowledgment; alignment anchor for the kitchen conflict rows (#33 train, #59 test).",A01,"T01, T04",,Happy,False,False,False,False,kitchen|happy|thumbs up|stand,,54
33,train,kitchen,Person gives thumbs down while smiling and shaking head playfully — family tasting game.,happy,thumbs down,stand,,F01,G3,"Happy overrides thumbs down → playful banter, not distress. MOVED from V2 Test so training contains one conflict example; action corrected A08→A01 (V2 assigned the de-escalation action to an F01 row).",A01,,,Happy,False,False,False,False,kitchen|happy|thumbs down|stand,,24
34,train,kitchen,Person extends both hands out to signal stop and runs back from smoke at the stove.,fear,both hands up,step back,,F02,G1,Maximal emergency: fear + stop-hands + fleeing smoke. Fusion adds redundancy for noisy cues. Motion normalized to run + direction away from object (V2: 'Move backward (run)').,A02/A03,,,Fear,False,False,False,False,kitchen|fear|both hands up|step back,,46
35,train,kitchen,"Person touches a hot pan, startled, throws both hands up and steps back.",surprise,both hands up,step back,,F02,G1,Surprise + recoil at hot pan = burn risk. The same cue pattern in the classroom routes to A14 (no fire/medical dispatch) — context selects hazard handling.,A02/A03,,,Surprise,False,False,False,False,kitchen|surprise|both hands up|step back,,32
36,train,kitchen,Person beckons robot toward the stove with neutral face while walking there.,neutral,beckoning,walk,,F03,"G1, G3",Beckon + walk toward stove = assistance at destination; neutral emotion must not suppress. Direction toward object separates this from F06 (toward robot).,A04,,,Neutral,False,False,False,False,kitchen|neutral|beckoning|walk,,37
37,train,kitchen,"Person points at a shelf while walking toward it, neutral face.",neutral,point,walk,,F03,"G1, G3",Point + walk toward shelf = fetch/carry request. The direction field distinguishes this from #27 (point + toward robot = give way).,A13,,,Neutral,False,False,False,False,kitchen|neutral|point|walk,,50
38,train,kitchen,"Person slumped against counter, sad, barely moving, gives a weak thumbs down.",sad,thumbs down,sit,,F04,G1,Static distress at the counter → guidance. Sad + directed signal (thumbs down) + static = F04 per rubric; contrast #51 (no gesture at all → F10).,A05,,,Sad,False,False,False,False,kitchen|sad|thumbs down|sit,,31
39,train,kitchen,"Person beckons robot with tired, sad face while standing over a pile of dirty dishes.",sad,beckoning,stand,,F04,G1,Beckon + negative affect = explicit help request. Train counterpart of test #56 (same combo with context masked) — makes that inference learnable rather than zero-shot.,A05,,,Sad,False,False,False,False,kitchen|sad|beckoning|stand,,51
40,train,kitchen,"Person chops vegetables with neutral focus, back to robot, occasionally pointing at ingredients.",neutral,idle,stand,,F05,"G1, G3",Rule neutral+stand→available. Task-embedded point (ingredients) + kitchen = focused work; interrupting near knives is unsafe.,A06,,,Neutral,False,False,False,False,kitchen|neutral|idle|stand,,21
41,train,kitchen,"Person wipes hands on apron, neutral, glancing around — transition between tasks, self-directed point.",neutral,idle,stand,,F05,"G1, G3",Self-directed (inward) gesture during a task transition ≠ invitation. Do not engage.,A06,,,Neutral,False,False,False,False,kitchen|neutral|idle|stand,,43
42,train,kitchen,"Person pushes robot aside with disgusted face, pointing it away, stepping back.",disgust,point,step back,,F06,"G1, G3",Robot-directed point + stepping back = clear-path demand; rule disgust+step-back→hazard-check misfires. Cross-environment pair with #27.,A11,,,Disgust,False,False,False,False,kitchen|disgust|point|step back,,53
43,train,kitchen,Person carrying a hot pot with both hands walks toward robot in the galley aisle — no gesture possible.,neutral,[missing],walk,gesture,F06,G2,Hands occupied by a hot pot → gesture missing; walk toward robot in the aisle = urgent passage. Kitchen counterpart of #12 — the missing-gesture pattern exists in both contexts.,A11,,,Neutral,False,False,True,False,kitchen|neutral|?|walk,,45
44,train,kitchen,"Person slams hand on counter then raises both hands, angry, rigid, standing.",angry,both hands up,stand,,F07,"G1, G3","Slam then both hands up (scenario text now includes the recorded gesture): stationary + kitchen = venting, not danger. Rule angry→emergency over-escalates.",A08,,,Anger,False,False,False,False,kitchen|angry|both hands up|stand,,47
45,train,kitchen,"Person angrily points repeatedly at spilled food on the floor while looking at the robot, standing.",angry,point,stand,,F07,"G1, G3","The point targets the mess, not the robot's space; stationary = complaint, not aggression. Minimal pair with #27: walking-toward flips it to F06.",A08,,,Anger,False,False,False,False,kitchen|angry|point|stand,,43
46,train,kitchen,"Person recoils from refrigerator odor, disgusted, thumbs down, stepping back.",disgust,thumbs down,step back,,F08,"G1, G3",Rule disgust+kitchen→inspect food acts on the object; the person-centric reading (aversion + withdrawal → relief) is correct.,A07,,,Disgust,False,False,False,False,kitchen|disgust|thumbs down|step back,,30
47,train,kitchen,"Person stands at the sink grimacing at greasy pans, gives thumbs down, leaning away.",disgust,thumbs down,stand,,F08,G1,Standing variation of #46 for recording diversity; keeps the rubric airtight (disgust→F08).,A07,,,Disgust,False,False,False,False,kitchen|disgust|thumbs down|stand,,50
48,train,kitchen,Person waves at robot with happy face while walking toward the exit.,happy,wave,walk,,F01,"G1, G3",Wave + happy is ambiguous with greeting; exit direction resolves it. Single action A09 (V2 listed A09+A10; A10 remains the alternative in the legend).,A09,,,Happy,False,False,False,False,kitchen|happy|wave|walk,,47
49,train,kitchen,"Person unties apron and waves while walking to the door, face turned away — emotion not captured.",[missing],wave,walk,emotion,F01,G2,"Emotion-missing farewell in training (face turned away): wave + walk suffice once farewell is part of F01. Train counterpart of test #22 (classroom), and the source footage for #58's emotion+gesture double mask.",A10,,,,True,False,False,False,kitchen|?|wave|walk,,52
50,train,kitchen,"Person sits down heavily, sad, staring at a failed dish, hands in lap — no gesture.",sad,idle,sit,,F10,G1,"Gesture corrected thumbs down→none : V2's own justification said 'no reaching gesture', and the V2 tuple collided with #38 (identical cues → F04). Sad + no gesture + sitting = giving up.",A12,,,Sad,False,False,False,False,kitchen|sad|idle|sit,,49
51,train,kitchen,"Person stares at a burnt cake, shoulders dropped, sad, hands at sides, standing motionless.",sad,idle,stand,,F10,G1,Standing variant; completes gesture-none coverage in the kitchen. Contrast #38: a directed signal → F04.,A12,,,Sad,False,False,False,False,kitchen|sad|idle|stand,,47
52,train,kitchen,Person raises hand and smiles while sitting at the kitchen table after eating.,happy,raise hand,sit,,F01,G3,"Context flip: the same cues are participation/help in the classroom (#7 neutral, #11 happy) but social acknowledgment in the kitchen. Tests context-conditioned meaning.",A01,,,Happy,False,False,False,False,kitchen|happy|raise hand|sit,,42
53,test,kitchen,Person runs from the stove area in fear — gesture lost to motion blur.,fear,[missing],walk,gesture,F02,G2,Gesture lost to blur; fear + run + kitchen must still escalate. Safety-critical robustness; train counterparts #12/#43 plus modality dropout.,A02/A03,"T03, T05",,Fear,False,False,True,False,kitchen|fear|?|walk,,39
54,test,kitchen,"Person stands frozen, wide-eyed, staring at the oven — rigid, no gesture.",fear,idle,stand,,F02,G3,Freeze response: all training emergencies are dynamic (run/recoil); fear + rigid stillness + oven must still escalate. V2 had emotion missing AND stare-as-'point' — unanswerable from captured cues; V3 keeps emotion observable so the row is resolvable.,A02/A03,"T01, T05",,Fear,False,False,False,False,kitchen|fear|idle|stand,,38
55,test,kitchen,"Person cheerfully points at a high cupboard while walking toward it, looking at robot.",happy,point,walk,,F03,G3,"Unseen emotion for F03 (happy): task requests must be emotion-invariant. Walk toward object + point = fetch; distinct from #40/#41 (static, task-embedded point → F05).",A13,"T01, T05",,Happy,False,False,False,False,kitchen|happy|point|walk,,42
56,test,kitchen,"Person beckons robot with sad face, standing — room-identity sensor offline.",sad,beckoning,stand,context,F04,G2,"Context masked: sad + beckon suffice for a help request. Train counterpart #39 (context present) makes the inference learnable, not zero-shot.",A05,"T03, T05",,Sad,False,True,False,False,?|sad|beckoning|stand,,34
57,test,kitchen,"Person slowly stirs pot with content neutral expression, humming - deeply focused on cooking",neutral,idle,stand,,F05,G1,"Task-absorbed cooking with no directed signal: neutral affect + idle hands + stationary at the counter must read as engaged/busy, not as an invitation. Rule neutral+stand→available misfires. Cue-identical to train rows #40/#41, so this row measures take/session transfer rather than an unseen cue combination.",A06,"T01, T05",,Neutral,False,False,False,False,kitchen|neutral|idle|stand,,28
58,test,kitchen,Person carrying stacked trays walks toward robot — hands occupied and face hidden behind the trays.,[missing],[missing],walk,"emotion, gesture",F06,G2,"Double masking with an ACTIVE ground truth: walk toward robot in the aisle must yield give-way, not the F05 fallback. Separates true robustness from blanket defaulting; direction is the deciding cue.",A11,"T03, T05",,,True,False,True,False,kitchen|?|?|walk,49,43
59,test,kitchen,"Person gives thumbs up with angry face after being told to redo a recipe, standing.",angry,thumbs up,stand,,F07,G3,"Sarcastic compliance: angry overrides thumbs up. Different conflict combo from training (#13/#33) — tests interaction generalization, not memorization.",A08,"T02, T05",,Anger,False,False,False,False,kitchen|angry|thumbs up|stand,,42
60,test,kitchen,"Person pushes plate away at the table, disgusted, thumbs down, seated.",disgust,thumbs down,sit,,F08,"G1, G3","Seated aversion variant; cross-context pair with #16 (classroom, step-back). Rule disgust-in-kitchen→inspect-food misfires.",A07,"T01, T04, T05",,Disgust,False,False,False,False,kitchen|disgust|thumbs down|sit,,41
61,test,kitchen,Person waves while walking toward the exit with sad face after a failed cooking session.,sad,wave,walk,,F01,G3,"Unseen combo sad+wave : farewell must be driven by gesture + direction, emotion-invariant; must not divert to F04 despite sadness. Naive happy-wave rules fail.",A10,"T02, T05",,Sad,False,False,False,False,kitchen|sad|wave|walk,,44
62,test,kitchen,"Person slumps forward over the counter, head down over the failed dish, sad, no gesture.",sad,idle,step back,,F10,G3,"Unseen posture (lean forward) for the learned F10 pattern (sad + no gesture + low energy, #20/#21/#50/#51). Tests posture and context generalization.",A12,"T01, T04, T05",,Sad,False,False,False,False,kitchen|sad|idle|step back,,42
63,test,kitchen,"Person sits down looking sad, slow movement, staring at failed dish",sad,thumbs down,sit,,F04,G1,"Second recording of the (kitchen, sad, thumbs down, seated) tuple, held out from #38. Shot originally as the F10 'giving up' scenario, but the actors performed a directed thumbs down, which makes it a help request rather than disengagement — #51 was re-recorded gesture-free so F10 keeps its own footage, resolving the old S21/S28 label collision. Cue-identical to #38 by design, so this row measures session transfer of the F04 boundary, not an unseen combination; contrast #50/#51, where the ABSENCE of a directed gesture is what makes it F10. CAUTION: actors P01/P02/P04 appear in both #38 (train) and this row.",A05,"T01, T05",,Sad,False,False,False,False,kitchen|sad|thumbs down|sit,,46
