clip_id,v3_row,context,scenario_dir,intent,action,split_design,person_id,filepath,view,width,height,fps,n_frames,duration_s,sha256,recorded_at
S01_F01_c022,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c022.mp4,realsense_480p,640,480,15.0,71,4.733,40764c2d72affb6db7b4c6481e5371821f0a666ee1eef0227769cc04041f1280,
S01_F01_c023,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c023.mp4,realsense_480p,640,480,15.0,97,6.467,68a93ae8762a2c8af562e1d82a494b7c51339f8c1e6281568bc2e765410705a4,
S01_F01_c024,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c024.mp4,realsense_480p,640,480,15.0,76,5.067,f57ea6bf42e37a99bbee1cc5c2be692050afeee2f1afd48652fb47d8724c6b4d,
S01_F01_c025,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c025.mp4,realsense_480p,640,480,15.0,70,4.667,13ad09023989b54a70f77b95f72b03747a9a7a78faf21ecf6caf8bf6ca20bc27,
S01_F01_c026,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c026.mp4,realsense_480p,640,480,15.0,69,4.6,a6a87e7e310c2e4645eb16d36366459af595e9ecabab2289697e613c591aa36f,
S01_F01_c027,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c027.mp4,realsense_480p,640,480,15.0,80,5.333,9a0e4742368df6cf4762e8026ca52b5754afed7f43f7a71341a0f02caf9e8c5f,
S01_F01_c028,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c028.mp4,realsense_480p,640,480,15.0,78,5.2,ca69edc1900f42e37003fdae322b81247672569d0759b2f0e2540aa4f57cf02a,
S01_F01_c029,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c029.mp4,realsense_480p,640,480,15.0,82,5.467,0520c3684e5eedcd105da9f62b04e5e39782116811418711fbbcf346563f9dd2,
S01_F01_c030,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c030.mp4,realsense_480p,640,480,15.0,101,6.733,0a9206044dfb0609fad2a8cd1e5e0d55954a73a38ea2c2ada6476c3497d6603d,
S01_F01_c031,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c031.mp4,realsense_480p,640,480,15.0,69,4.6,315104fec40b27303b3d765edea826ffecde03c20155d89b59f0f5ecb3ef3d7f,
S01_F01_c032,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c032.mp4,realsense_480p,640,480,15.0,82,5.467,5ddef04165c840e1dd5dd06580548b2e2fdeb8425cdc02e61b578136ec589cc6,
S01_F01_c033,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c033.mp4,realsense_480p,640,480,15.0,72,4.8,32d9baa2829c3cd28ec25879e984bd528da857ece316add69ced15d77d9255b0,
S01_F01_c035,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c035.mp4,realsense_480p,640,480,15.0,76,5.067,e19aa6550eb6222f27e90972b3498b8335e9e94831bc70b4d7277c23baaf3aa8,
S01_F01_c036,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c036.mp4,realsense_480p,640,480,15.0,79,5.267,7afb8aa4c96364a587abca142dcf0fab0941887dd0bb7a85f2506849738cbe2d,
S01_F01_c037,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c037.mp4,realsense_480p,640,480,15.0,77,5.133,4506abae2ffdc50ce774907aaf2886c071b730ae9e4b6255dc5e106f00cf383f,
S01_F01_c038,1,classroom,S01_F01,F01,A01,train,P01,classroom/S01_F01/S01_F01_c038.mp4,realsense_480p,640,480,15.0,85,5.667,ad0856f4ec44ff592391b18d06e90401ea27e9e82999b98cc3c6e817d98484ad,
S01_F01_c039,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c039.mp4,realsense_480p,640,480,15.0,92,6.133,e5c58b9d7324e70cb4e2e33e2d3e2a42be435ac15f17f35021bf13afed23949e,
S01_F01_c040,1,classroom,S01_F01,F01,A01,train,P02,classroom/S01_F01/S01_F01_c040.mp4,realsense_480p,640,480,15.0,85,5.667,28703035fc230dd8cb40d0148f51569bc5e92225a67e884c53f35463b3cf48cc,
S02_F01_c001,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c001.mp4,realsense_480p,640,480,15.0,82,5.467,8e9c0c200275caaa4b06bb5e5559a3122a5380f65212f384068ef1d4cfe1a009,
S02_F01_c002,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c002.mp4,realsense_480p,640,480,15.0,82,5.467,5a4ba3300b4b4c3f31286c381bd9a71dba170df85444c1f6db101a7ef3e95d6b,
S02_F01_c003,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c003.mp4,realsense_480p,640,480,15.0,80,5.333,449b3e42e242fbe74f1e008398bace32b7d38c8ef0ba563e3d06d25fe6798498,
S02_F01_c004,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c004.mp4,realsense_480p,640,480,15.0,85,5.667,7d3b190ea7bbca7df244757383a5c7631db8f72f6d930179efa55a519f3c1c9b,
S02_F01_c005,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c005.mp4,realsense_480p,640,480,15.0,76,5.067,a72b80faa172784ab73eb723c3032f0c605bb0e71a1f2d6734baa60880b620a4,
S02_F01_c006,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c006.mp4,realsense_480p,640,480,15.0,86,5.733,71a45cebfe0a1727e5bf20ade740172b2590043ba5291b590dda4e8f9ca7cd25,
S02_F01_c007,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c007.mp4,realsense_480p,640,480,15.0,82,5.467,66eb0b94edf0a4b6b6863583e76299eb5adc0981f008c72f05d3fbded5896e1b,
S02_F01_c008,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c008.mp4,realsense_480p,640,480,15.0,84,5.6,990b55a007ab346515a47266f29647e31c80ed61512d8872797065082f06491b,
S02_F01_c009,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c009.mp4,realsense_480p,640,480,15.0,86,5.733,44a24933cb7b7de4caef4de218a2d123b8530944ffeee539a3ce13e19027f350,
S02_F01_c010,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c010.mp4,realsense_480p,640,480,15.0,85,5.667,2ab86ea07931de636454a66ae920df489f34ced3d0d26b9f5b56331ba8f8e847,
S02_F01_c011,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c011.mp4,realsense_480p,640,480,15.0,91,6.067,854dad797992b4f33acf1f3e4dbead33c102b4f9d41c67dbe1b5d658d287933a,
S02_F01_c012,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c012.mp4,realsense_480p,640,480,15.0,81,5.4,c6e7ca03576e53295d79fe434a745a9d64507ce828efee4e634ecea8725326a8,
S02_F01_c013,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c013.mp4,realsense_480p,640,480,15.0,86,5.733,e593274d82edae848b57a19aada24070cc37e3a9db83b23fa1e4b943f1d4943b,
S02_F01_c014,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c014.mp4,realsense_480p,640,480,15.0,107,7.133,4ac0d478c1a75a0ff54cc5688942387d4b16a4f108b5e6c9b9d9daaab10a8611,
S02_F01_c015,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c015.mp4,realsense_480p,640,480,15.0,90,6.0,4323b8f8b95473902c8474626c2a706dd61e7a6e3de8795671566dc994fa6f54,
S02_F01_c016,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c016.mp4,realsense_480p,640,480,15.0,83,5.533,6ed5bfcf8c05d16f79d90b7a917457d96e614cbb4ff964bcca266555c90ae02f,
S02_F01_c017,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c017.mp4,realsense_480p,640,480,15.0,85,5.667,583eb804ed0858198ca7db1cde09e540ce213bcb89c7c8bc6343ff4a6385b2cc,
S02_F01_c018,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c018.mp4,realsense_480p,640,480,15.0,78,5.2,31889abbb08ad47d2e510bf6a4e23ea2bc2d368504f43b8c37b970280925330b,
S02_F01_c019,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c019.mp4,realsense_480p,640,480,15.0,78,5.2,c76569d0d8d2b2f1f67b706f8c4cf7c093d3ceddfedcc6be8b7c2509b48655b8,
S02_F01_c020,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c020.mp4,realsense_480p,640,480,15.0,79,5.267,ccd92f237404bc03ec83a4065211ea8b9a9c8d76014f8f4720d12faf5e023cc3,
S02_F01_c021,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c021.mp4,realsense_480p,640,480,15.0,77,5.133,ceb7bf8ae062942e82731a3a3d7ee2bfe445ca5f859e068a23d5d6db48be316e,
S02_F01_c022,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c022.mp4,realsense_480p,640,480,15.0,96,6.4,69a4d02516de4d799737682be69d6ddc71b05c44b3fcdd5e25efb6af5fc2bcd4,
S02_F01_c023,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c023.mp4,realsense_480p,640,480,15.0,81,5.4,7307f80429134ad4609f3881c183f33a57351ae50e51ccd02a9d3059d0afad9b,
S02_F01_c024,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c024.mp4,realsense_480p,640,480,15.0,93,6.2,f9ff2408a72ae37ac3e7c65f0045bb6f3548a1fcd79997abdcc3018f40d97925,
S02_F01_c025,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c025.mp4,realsense_480p,640,480,15.0,89,5.933,f0f8a85f204ef6ab88959a93fd0659a151534f11998e7fecec81928fcadfabac,
S02_F01_c026,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c026.mp4,realsense_480p,640,480,15.0,90,6.0,6bf25ce4fd6f5835ba93562d4a70842930cd626d9acc147f2c7bcfb234655e6b,
S02_F01_c027,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c027.mp4,realsense_480p,640,480,15.0,86,5.733,85b6fd80cbef882797eb24e784127b153c5d5f4c5b757d9fef20170ddcbbb315,
S02_F01_c028,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c028.mp4,realsense_480p,640,480,15.0,104,6.933,85434adbf6e50ab94661b82ac1edac44b70c4ac884a6cc0b9d1c9017a8ca6f74,
S02_F01_c029,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c029.mp4,realsense_480p,640,480,15.0,79,5.267,03a69311619d3db199fb4478dc7fe8a4638a0942a5b8de39bc525c0a10c98bcc,
S02_F01_c030,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c030.mp4,realsense_480p,640,480,15.0,79,5.267,980b8b53f5dea55b7959f5dfee6c9723320693c6f9c1fbbb3fa582ba91c6465e,
S02_F01_c031,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c031.mp4,realsense_480p,640,480,15.0,74,4.933,e36fec49264321fb2d07b6be8b2deca9e60ddf686922d24844a7a01a782c31c3,
S02_F01_c032,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c032.mp4,realsense_480p,640,480,15.0,84,5.6,bb91702271691d59b3c7dddc7c4e73ab92c8d0fdff285e37a5a47b7e0547df5d,
S02_F01_c033,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c033.mp4,realsense_480p,640,480,15.0,76,5.067,50a2f764c459f5cc3c3bbd5e27ab62137417e55c1ca5aa1619fef17d186717dc,
S02_F01_c034,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c034.mp4,realsense_480p,640,480,15.0,84,5.6,2b7463ae53b8475aacb27754722174f9cc4543f9a88168e2c7acd6102e86b11a,
S02_F01_c035,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c035.mp4,realsense_480p,640,480,15.0,93,6.2,313738d7b803c4583c2be8bd244862c375f82f2ffb581d1813c1f4f974fd23d4,
S02_F01_c036,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c036.mp4,realsense_480p,640,480,15.0,73,4.867,c82e51cd659d96e34a2441be4fc8ae830226d83b6babc4ae787274c93dc14105,
S02_F01_c037,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c037.mp4,realsense_480p,640,480,15.0,88,5.867,451844ee002687aec52b330471c5b653b814c55356a2d3b25b0547eb8e88d857,
S02_F01_c038,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c038.mp4,realsense_480p,640,480,15.0,91,6.067,29ed7c0cb2fcfd6216380fdfa6e72d39f4aa7950e8ef13d38e23b42417d11e27,
S02_F01_c039,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c039.mp4,realsense_480p,640,480,15.0,93,6.2,925e434dfd3da09d45c86b19eb11f374ad089166edc355cac5ee159d96f7af45,
S02_F01_c040,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c040.mp4,realsense_480p,640,480,15.0,89,5.933,99583e2753b395f97f13804ca0a7876687486893c6a4696faa0cf73c389ec481,
S02_F01_c041,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c041.mp4,realsense_480p,640,480,15.0,100,6.667,af4b014876fd0a00640ac3d5f2da24042c9d2888aafaefb1876a896ab2f434a8,
S02_F01_c042,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c042.mp4,realsense_480p,640,480,15.0,79,5.267,636d7b5ac41b996bb8d48740bbc43ec750d2841938b43311150ce00b65c4cb9e,
S02_F01_c043,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c043.mp4,realsense_480p,640,480,15.0,86,5.733,31a9477068d5ca458de924989b2a7b7455c747851e74a2d2f2a03c7dd6e1e7c5,
S02_F01_c044,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c044.mp4,realsense_480p,640,480,15.0,76,5.067,c0b605c6d57c8f4c7850bba8e91078912c5f97600fbcc5849df20ce362024d5b,
S02_F01_c045,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c045.mp4,realsense_480p,640,480,15.0,91,6.067,593972977bcf6d2e944ad3177daefb722d640019989d45c7cd5f1a2eb3fe47e8,
S02_F01_c046,2,classroom,S02_F01,F01,A01,train,P01,classroom/S02_F01/S02_F01_c046.mp4,realsense_480p,640,480,15.0,88,5.867,e56fb1f67a3d6a177135d7711412ec8c5d8107483c6d2da60375d703cd7bdbe9,
S02_F01_c047,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c047.mp4,realsense_480p,640,480,15.0,79,5.267,c7fa835446beb1da81965956c756baed226fa0ce4c524ab69b48a9518d2791b7,
S02_F01_c048,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c048.mp4,realsense_480p,640,480,15.0,81,5.4,d8ea5fe18ddbdd66f28925ae71e9223f507ca7471721ed209e7ba3d3b728f66a,
S02_F01_c049,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c049.mp4,realsense_480p,640,480,15.0,104,6.933,e0ffc48ee5fe6a30b3987aeb53a4d4e6f446171302a9353818044c81d47c7a47,
S02_F01_c050,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c050.mp4,realsense_480p,640,480,15.0,86,5.733,67a22b05b9312562cffc4d9b74e8fb1594157f60982d0a8e22ac0dd7a46d81f1,
S02_F01_c051,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c051.mp4,realsense_480p,640,480,15.0,80,5.333,f096ef57cbfd72c18892fc980396e2b9758546c445424603fcd5c6baa62988ce,
S02_F01_c052,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c052.mp4,realsense_480p,640,480,15.0,89,5.933,5d4d47c5d7006c15cb833ca437ad6de714426f6f20efd6ac3aa43404cde39878,
S02_F01_c053,2,classroom,S02_F01,F01,A01,train,P02,classroom/S02_F01/S02_F01_c053.mp4,realsense_480p,640,480,15.0,84,5.6,3f16e6213e929ae9cd1e84ca17d8bed22ea89231eb9b96edcad2545cd51ec279,
S02_F01_c054,2,classroom,S02_F01,F01,A01,train,P06,classroom/S02_F01/S02_F01_c054.mp4,realsense_480p,640,480,15.0,87,5.8,cdc8ef9c6ec5c8de678228ffe1110a24c62735c6c52f16fd4fd3530fed83cd9c,
S03_F02_c001,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c001.mp4,realsense_480p,640,480,15.0,77,5.133,bb9d8a4cf61937fd2f87bda88decb0750dc5dd51e5d1aef7d3b86da353afb9a3,
S03_F02_c002,3,classroom,S03_F02,F02,A14,train,P02,classroom/S03_F02/S03_F02_c002.mp4,realsense_480p,640,480,15.0,84,5.6,53dea77b8e0664d38ba2c901d2b18909b23dc2d3359d0449a87e853689a1b8e8,
S03_F02_c003,3,classroom,S03_F02,F02,A14,train,P03,classroom/S03_F02/S03_F02_c003.mp4,realsense_480p,640,480,15.0,82,5.467,c22e794b609a45580a4758704236028cb2dbfce737a810c1d8f0f15e8133c0a9,
S03_F02_c004,3,classroom,S03_F02,F02,A14,train,P03,classroom/S03_F02/S03_F02_c004.mp4,realsense_480p,640,480,15.0,93,6.2,a16e19401931332114fff16d5077b951b5c4bf5a477dc4fa3ff1c14dc3f1138f,
S03_F02_c005,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c005.mp4,realsense_480p,640,480,15.0,81,5.4,4a0627b52bc832e47460da798429139c26265b79f0de8ebad517b361019dde28,
S03_F02_c006,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c006.mp4,realsense_480p,640,480,15.0,81,5.4,76a7217624ea495336f142d4603ac66c34f63691ee3525778d2a5f7f3c5edaf1,
S03_F02_c007,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c007.mp4,realsense_480p,640,480,15.0,89,5.933,e098af8234678110b8c776b5d55d255b99ee43f62f97e664e925bbd9a2d31af2,
S03_F02_c008,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c008.mp4,realsense_480p,640,480,15.0,79,5.267,5f06f6bfbc5377c35635e3faa42aadaf47a74b376a8a31338c2a225dceaad0e4,
S03_F02_c009,3,classroom,S03_F02,F02,A14,train,P03,classroom/S03_F02/S03_F02_c009.mp4,realsense_480p,640,480,15.0,81,5.4,1b62ead0eb74c60d8ba7e0645f3b62013c7670235d24b8d1272985d32bf5884c,
S03_F02_c010,3,classroom,S03_F02,F02,A14,train,P03,classroom/S03_F02/S03_F02_c010.mp4,realsense_480p,640,480,15.0,79,5.267,480946c70613824397af8b8c8cc783362c030ecf479c6af5ed9e01fc485b617b,
S03_F02_c011,3,classroom,S03_F02,F02,A14,train,P02,classroom/S03_F02/S03_F02_c011.mp4,realsense_480p,640,480,15.0,79,5.267,8ae9302054962171d1f5dcbd12bacff6a8d28228b30acf6ac880eaaf1f440e99,
S03_F02_c012,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c012.mp4,realsense_480p,640,480,15.0,82,5.467,1d4eb321f128536f6f0b76b57a5c3103679cbc5b16553f1b737df336a2998696,
S03_F02_c013,3,classroom,S03_F02,F02,A14,train,P02,classroom/S03_F02/S03_F02_c013.mp4,realsense_480p,640,480,15.0,86,5.733,88005dc3d5ed3ebd44102c4b96c825f074831a30194853121f3f5396e0d4c530,
S03_F02_c014,3,classroom,S03_F02,F02,A14,train,P02,classroom/S03_F02/S03_F02_c014.mp4,realsense_480p,640,480,15.0,107,7.133,98dd33ee407b8ffb31cfc5219bbf4ed2f1fefad3b4dea3525fba8b78c15a2cd4,
S03_F02_c015,3,classroom,S03_F02,F02,A14,train,P02,classroom/S03_F02/S03_F02_c015.mp4,realsense_480p,640,480,15.0,107,7.133,f0dff3a80429ca3b45ad0f2af86a26892e5690878b1f73edf9f958025deb2458,
S03_F02_c016,3,classroom,S03_F02,F02,A14,train,P03,classroom/S03_F02/S03_F02_c016.mp4,realsense_480p,640,480,15.0,86,5.733,99c0067d92a4059165a2eed9497fc2a24128bf6b2b8b4d1e76098198cbae5548,
S03_F02_c017,3,classroom,S03_F02,F02,A14,train,P03,classroom/S03_F02/S03_F02_c017.mp4,realsense_480p,640,480,15.0,79,5.267,d3702aa5d325036b1b417ca61d24db11b65b5b35f44963af30ba30cd7713c7e2,
S03_F02_c018,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c018.mp4,realsense_480p,640,480,15.0,79,5.267,e6e40ff375b1be7af447966bba2589850cbee7a4bcb260a3eec1056d3e78c9bb,
S03_F02_c019,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c019.mp4,realsense_480p,640,480,15.0,77,5.133,c92a6811d7a43fe85080ce2ba893a3fd122e337377a9ad235f6c39dc8f919c72,
S03_F02_c020,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c020.mp4,realsense_480p,640,480,15.0,87,5.8,33c2971715962c026fc82231b9bb1b33ba27a1724530fdeaab9a996b98c29838,
S03_F02_c021,3,classroom,S03_F02,F02,A14,train,P02,classroom/S03_F02/S03_F02_c021.mp4,realsense_480p,640,480,15.0,92,6.133,b6aa9c6d6a5fdb8c4151009878d719e727693c1bff20ab5274be63371ede08a0,
S03_F02_c022,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c022.mp4,realsense_480p,640,480,15.0,77,5.133,b69e8242adf1b6f59e23b5d719a0f398e4963ef89f8fd7212b109bdac3e0a9b3,
S03_F02_c023,3,classroom,S03_F02,F02,A14,train,P01,classroom/S03_F02/S03_F02_c023.mp4,realsense_480p,640,480,15.0,88,5.867,dbfeaf9cfb8fd05ced362d83d2284035e5de75bbccf227c8c7ae25ca7ad5189c,
